INSERT INTO coche (Id_coche,id_cliente,matricula,marca,color,transmision,marca_neumaticos)
VALUES
('1', '3149', 'CAU-683', 'Bentley', 'Plateado', 'automatico', 'Brigdestone'),
('2', '430', 'IPO-054', 'Koenigsegg', 'Dorado', 'estandar', 'Dunlop'),
('3', '2586', 'XJY-051', 'Tesla', 'Violeta', 'estandar', 'Dunlop'),
('4', '1788', 'VEF-414', 'Land Rover', 'Dorado', 'automatico', 'Michelin'),
('5', '4501', 'VXS-749', 'Subaru', 'Crema', 'automatico', 'Brigdestone'),
('6', '4286', 'RGB-228', 'Jaguar', 'Violeta', 'automatico', 'Michelin'),
('7', '2837', 'BWX-111', 'Koenigsegg', 'Plateado', 'automatico', 'Dunlop'),
('8', '2073', 'OGC-674', 'Ford', 'Violeta', 'automatico', 'Continental'),
('9', '851', 'RXW-864', 'Chevrolet', 'Crema', 'automatico', 'Continental'),
('10', '3632', 'NCZ-933', 'Chrysler', 'Dorado', 'automatico', 'Michelin'),
('11', '1092', 'KMS-786', 'Peugeot', 'Dorado', 'automatico', 'Continental'),
('12', '2033', 'SJO-331', 'Toyota', 'Dorado', 'automatico', 'Dunlop'),
('13', '1816', 'MYZ-132', 'Volkswagen', 'Cian', 'estandar', 'Dunlop'),
('14', '3642', 'LPP-789', 'Jaguar', 'Borgoña', 'automatico', 'Dunlop'),
('15', '4238', 'TAJ-669', 'Nissan', 'Crema', 'automatico', 'Pirelli'),
('16', '3707', 'ZYG-104', 'Mazda', 'Violeta', 'automatico', 'Pirelli'),
('17', '143', 'XFR-289', 'Nissan', 'Dorado', 'estandar', 'Michelin'),
('18', '1869', 'NOY-483', 'Peugeot', 'Plateado', 'estandar', 'Pirelli'),
('19', '4656', 'JIC-023', 'Toyota', 'Violeta', 'estandar', 'Michelin'),
('20', '640', 'QYG-015', 'Hyundai', 'Borgoña', 'automatico', 'Continental'),
('21', '3651', 'NFL-689', 'Alfa Romeo', 'Borgoña', 'estandar', 'Michelin'),
('22', '4670', 'PGB-183', 'Maserati', 'Violeta', 'estandar', 'Dunlop'),
('23', '2024', 'CFQ-372', 'Jaguar', 'Borgoña', 'estandar', 'Brigdestone'),
('24', '1340', 'OES-224', 'Ferrari', 'Cian', 'estandar', 'Pirelli'),
('25', '4567', 'OCZ-081', 'BMW', 'Dorado', 'automatico', 'Dunlop'),
('26', '4110', 'ECZ-422', 'Hyundai', 'Plateado', 'automatico', 'Brigdestone'),
('27', '4218', 'TTS-564', 'Aston Martin', 'Cian', 'automatico', 'Michelin'),
('28', '3230', 'YNO-373', 'Jaguar', 'Borgoña', 'automatico', 'Pirelli'),
('29', '756', 'GKR-943', 'Jeep', 'Cian', 'estandar', 'Michelin'),
('30', '4988', 'HPV-990', 'Jaguar', 'Plateado', 'estandar', 'Michelin'),
('31', '4438', 'FVS-531', 'Land Rover', 'Cian', 'automatico', 'Brigdestone'),
('32', '569', 'PYP-595', 'Maserati', 'Violeta', 'automatico', 'Brigdestone'),
('33', '1975', 'ZAR-166', 'Nissan', 'Cian', 'estandar', 'Dunlop'),
('34', '2419', 'HCI-072', 'Alfa Romeo', 'Dorado', 'estandar', 'Dunlop'),
('35', '4161', 'GVC-119', 'Lamborguini', 'Dorado', 'estandar', 'Dunlop'),
('36', '4429', 'GVM-979', 'Hyundai', 'Borgoña', 'automatico', 'Pirelli'),
('37', '2856', 'OGR-506', 'Honda', 'Borgoña', 'automatico', 'Pirelli'),
('38', '3519', 'WLU-792', 'Ford', 'Cian', 'estandar', 'Pirelli'),
('39', '2403', 'XMV-208', 'Jaguar', 'Borgoña', 'automatico', 'Michelin'),
('40', '3390', 'JVJ-045', 'Tesla', 'Cian', 'automatico', 'Michelin'),
('41', '4760', 'EOG-157', 'Volkswagen', 'Dorado', 'estandar', 'Dunlop'),
('42', '3798', 'NVG-020', 'Mazda', 'Dorado', 'estandar', 'Continental'),
('43', '2038', 'HUW-402', 'Audi', 'Borgoña', 'estandar', 'Dunlop'),
('44', '3719', 'ODR-204', 'Tesla', 'Borgoña', 'estandar', 'Pirelli'),
('45', '457', 'HGB-318', 'Chrysler', 'Dorado', 'automatico', 'Michelin'),
('46', '723', 'IDR-263', 'Renault', 'Cian', 'automatico', 'Dunlop'),
('47', '3599', 'CZT-109', 'Mercedes-Benz', 'Plateado', 'estandar', 'Michelin'),
('48', '3180', 'SRC-789', 'Mercedes-Benz', 'Violeta', 'automatico', 'Michelin'),
('49', '1908', 'WHX-201', 'Ford', 'Cian', 'automatico', 'Michelin'),
('50', '2738', 'UWH-480', 'Chrysler', 'Plateado', 'automatico', 'Brigdestone'),
