INSERT INTO animales (id_animal,nombre_animal,nombre_cientifico,familia,genero,especie,orden,clase,peligro_extincion)
VALUES
('3E','Esquilax','Equus fictus','Equidae','Equus','fictus','Perissodactyla','Mammalia','False');



INSERT INTO especimen (id_especie,id_animal,id_zoo,sexo,continente,pais,alimentacion,anio_nacimiento)
VALUES
('13001','3E','1','Macho','America','Estados Unidos','Herbívoro','2009'),
('13002','3E','2','Macho','America','Estados Unidos','Herbívoro','2001'),
('13003','3E','3','Hembra','America','Estados Unidos','Herbívoro','2020'),
('13004','3E','4','Hembra','America','Canada','Herbívoro','2001'),
('13005','3E','5','Macho','America','Estados Unidos','Herbívoro','2019'),
('13006','3E','6','Macho','America','Canada','Herbívoro','2024'),
('13007','3E','7','Macho','America','Canada','Herbívoro','2018'),
('13008','3E','8','Hembra','America','Estados Unidos','Herbívoro','2020'),
('13009','3E','9','Macho','America','Canada','Herbívoro','2015'),
('13010','3E','10','Macho','America','Estados Unidos','Herbívoro','2023'),
('13011','3E','11','Hembra','America','Mexico','Herbívoro','2021'),
('13012','3E','12','Hembra','America','Mexico','Herbívoro','2020'),
('13013','3E','13','Hembra','America','Estados Unidos','Herbívoro','2006'),
('13014','3E','14','Hembra','America','Mexico','Herbívoro','2007'),
('13015','3E','15','Hembra','America','Mexico','Herbívoro','2007'),
('13016','3E','16','Hembra','America','Mexico','Herbívoro','2015'),
('13017','3E','17','Macho','America','Estados Unidos','Herbívoro','2000'),
('13018','3E','18','Hembra','America','Estados Unidos','Herbívoro','2021'),
('13019','3E','19','Macho','America','Estados Unidos','Herbívoro','2005'),
('13020','3E','20','Macho','America','Mexico','Herbívoro','2007'),
('13021','3E','21','Macho','America','Estados Unidos','Herbívoro','2017'),
('13022','3E','22','Hembra','America','Mexico','Herbívoro','2015'),
('13023','3E','23','Macho','America','Estados Unidos','Herbívoro','2010'),
('13024','3E','24','Hembra','America','Canada','Herbívoro','2013'),
('13025','3E','25','Macho','America','Mexico','Herbívoro','2004'),
('13026','3E','26','Macho','America','Mexico','Herbívoro','2021'),
('13027','3E','27','Macho','America','Estados Unidos','Herbívoro','2009'),
('13028','3E','28','Macho','America','Mexico','Herbívoro','2013'),
('13029','3E','29','Macho','America','Canada','Herbívoro','2002'),
('13030','3E','30','Macho','America','Canada','Herbívoro','2004'),
('13031','3E','31','Macho','America','Canada','Herbívoro','2003'),
('13032','3E','32','Macho','America','Mexico','Herbívoro','2003'),
('13033','3E','33','Hembra','America','Mexico','Herbívoro','2005'),
('13034','3E','34','Hembra','America','Estados Unidos','Herbívoro','2009'),
('13035','3E','35','Macho','America','Estados Unidos','Herbívoro','2024'),
('13036','3E','36','Hembra','America','Mexico','Herbívoro','2021'),
('13037','3E','37','Macho','America','Estados Unidos','Herbívoro','2011'),
('13038','3E','38','Macho','America','Mexico','Herbívoro','2018'),
('13039','3E','39','Hembra','America','Mexico','Herbívoro','2008'),
('13040','3E','40','Hembra','America','Mexico','Herbívoro','2023'),
('13041','3E','41','Hembra','America','Canada','Herbívoro','2023'),
('13042','3E','42','Macho','America','Estados Unidos','Herbívoro','2000'),
('13043','3E','43','Hembra','America','Mexico','Herbívoro','2016'),
('13044','3E','44','Hembra','America','Mexico','Herbívoro','2005'),
('13045','3E','45','Hembra','America','Canada','Herbívoro','2022'),
